,blaZ,fosB,fusC,qacA,qacB
ST1/CC1,24,0,0,8,5
ST5/CC5,1,1,0,0,0
ST8/CC8,3,3,2,0,0
ST97/CC97,45,0,0,4,6
ST6161/CC1,0,0,0,0,0
ST188/CC188,1,0,0,0,0
ST705/CC151,0,0,0,0,0
ST1247/CC133,0,2,0,0,0
ST1640,0,0,0,0,0
ST6985/CC8,1,1,1,0,0
New STs ,8,3,0,1,0
